## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.insert_size_histogram.pdf --INPUT /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.markdup.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 21:18:27 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
22	2	11	2	218367362	23.658526	15.981895	3932810	TANDEM	5	9	15	19	23	29	33	39	43	53	141			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.tandem_count
2	213494
3	126340
4	92533
5	81982
6	80273
7	73908
8	69602
9	83488
10	86684
11	87181
12	85041
13	87271
14	87775
15	87676
16	88798
17	88673
18	89313
19	90438
20	90280
21	90284
22	90290
23	89825
24	89788
25	89849
26	89780
27	88564
28	87775
29	87025
30	85628
31	84687
32	82885
33	80452
34	78613
35	75538
36	71716
37	69291
38	65551
39	62269
40	58978
41	55865
42	52706
43	49316
44	46058
45	41743
46	37759
47	32842
48	27531
49	23177
50	18099
51	14153
52	10557
53	7820
54	5711
55	4211
56	3490
57	2805
58	2537
59	2358
60	2020
61	1983
62	1833
63	1804
64	1759
65	1748
66	1671
67	1713
68	1618
69	1549
70	1568
71	1516
72	1497
73	1375
74	1356
75	1348
76	1260
77	1279
78	1270
79	1260
80	1209
81	1177
82	1183
83	1072
84	1141
85	1103
86	1088
87	1034
88	1025
89	1005
90	1043
91	928
92	994
93	1030
94	878
95	877
96	845
97	934
98	789
99	759
100	795
101	767
102	701
103	654
104	646
105	612
106	616
107	616
108	628
109	524
110	595
111	558
112	527
113	530
114	508
115	571
116	489
117	462
118	488
119	437
120	424
121	447
122	455
123	384
124	409
125	339
126	369
127	360
128	375
129	385
130	346
131	349
132	339

