## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/ubuntu/projects/ctdna2/data/tmp/SRR13200966_ab_coord.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.markdup.bam --METRICS_FILE /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.markdup_metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --TMP_DIR /home/ubuntu/projects/ctdna2/data/tmp --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 20:56:26 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	31237	69144359	906794	31667	31226	64626218	0	0.934671	4518142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	656916	656916
2.0	1	318416	318416
3.0	1	246284	246284
4.0	1	215348	215348
5.0	1	196567	196567
6.0	1	183667	183667
7.0	1	173459	173459
8.0	1	163321	163321
9.0	1	154772	154772
10.0	1	146250	146250
11.0	1	137867	137867
12.0	1	129470	129470
13.0	1	121199	121199
14.0	1	112336	112336
15.0	1	105363	105363
16.0	1	97351	97351
17.0	1	90773	90773
18.0	1	83744	83744
19.0	1	77393	77393
20.0	1	71304	71304
21.0	1	66442	66442
22.0	1	61262	61262
23.0	1	56263	56263
24.0	1	52107	52107
25.0	1	48287	48287
26.0	1	43993	43993
27.0	1	40390	40390
28.0	1	37863	37863
29.0	1	35320	35320
30.0	1	32483	32483
31.0	1	30038	30038
32.0	1	28028	28028
33.0	1	26244	26244
34.0	1	24384	24384
35.0	1	22612	22612
36.0	1	21275	21275
37.0	1	20149	20149
38.0	1	18616	18616
39.0	1	17550	17550
40.0	1	16455	16455
41.0	1	15412	15412
42.0	1	14300	14300
43.0	1	13418	13418
44.0	1	13071	13071
45.0	1	12260	12260
46.0	1	11300	11300
47.0	1	10860	10860
48.0	1	10211	10211
49.0	1	9658	9658
50.0	1	9030	9030
51.0	1	8646	8646
52.0	1	8017	8017
53.0	1	7611	7611
54.0	1	7307	7307
55.0	1	6905	6905
56.0	1	6578	6578
57.0	1	6284	6284
58.0	1	5944	5944
59.0	1	5794	5794
60.0	1	5463	5463
61.0	1	5032	5032
62.0	1	5010	5010
63.0	1	4740	4740
64.0	1	4520	4520
65.0	1	4318	4318
66.0	1	4024	4024
67.0	1	3912	3912
68.0	1	3827	3827
69.0	1	3639	3639
70.0	1	3496	3496
71.0	1	3310	3310
72.0	1	3156	3156
73.0	1	3088	3088
74.0	1	2886	2886
75.0	1	2766	2766
76.0	1	2623	2623
77.0	1	2532	2532
78.0	1	2482	2482
79.0	1	2331	2331
80.0	1	2274	2274
81.0	1	2242	2242
82.0	1	2113	2113
83.0	1	1951	1951
84.0	1	1980	1980
85.0	1	1943	1943
86.0	1	1944	1944
87.0	1	1743	1743
88.0	1	1668	1668
89.0	1	1649	1649
90.0	1	1598	1598
91.0	1	1509	1509
92.0	1	1522	1522
93.0	1	1374	1374
94.0	1	1428	1428
95.0	1	1352	1352
96.0	1	1280	1280
97.0	1	1305	1305
98.0	1	1217	1217
99.0	1	1129	1129
100.0	1	1176	1176
101.0	0	1049	1049
102.0	0	1123	1123
103.0	0	1051	1051
104.0	0	1052	1052
105.0	0	980	980
106.0	0	926	926
107.0	0	946	946
108.0	0	945	945
109.0	0	891	891
110.0	0	832	832
