## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.insert_size_histogram.pdf --INPUT /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.markdup.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 08 16:18:09 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
18	2	9	2	191882747	19.30325	13.43033	3214893	TANDEM	5	9	11	15	19	23	27	31	33	43	163			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.tandem_count
2	211293
3	126431
4	92583
5	82598
6	80646
7	74956
8	73398
9	85473
10	88315
11	88859
12	86752
13	88633
14	88614
15	88741
16	89118
17	89043
18	88691
19	89055
20	88764
21	87959
22	87801
23	87154
24	86007
25	85524
26	83468
27	81980
28	80412
29	78262
30	75195
31	71748
32	67484
33	62374
34	56891
35	49659
36	42380
37	34811
38	27117
39	20595
40	14957
41	10534
42	7304
43	5407
44	4050
45	3141
46	2650
47	2457
48	2297
49	2199
50	2109
51	1967
52	1900
53	1905
54	1825
55	1721
56	1678
57	1557
58	1578
59	1570
60	1542
61	1422
62	1380
63	1327
64	1337
65	1294
66	1336
67	1300
68	1338
69	1246
70	1300
71	1221
72	1198
73	1206
74	1175
75	1125
76	1140
77	1089
78	1114
79	1081
80	1022
81	994
82	984
83	910
84	932
85	884
86	868
87	844
88	780
89	829
90	779
91	807
92	819
93	764
94	743
95	746
96	727
97	673
98	689
99	661
100	640
101	630
102	552
103	588
104	611
105	566
106	650
107	576
108	527

