## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/ubuntu/projects/ctdna2/data/tmp/SRR13201012_ab_coord.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.markdup.bam --METRICS_FILE /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.markdup_metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --TMP_DIR /home/ubuntu/projects/ctdna2/data/tmp --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 08 15:46:36 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	31058	93804510	1514120	31424	31049	90008130	0	0.959535	3796380

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	425555	425555
2.0	1	186522	186522
3.0	1	142421	142421
4.0	1	124230	124230
5.0	1	112719	112719
6.0	1	105986	105986
7.0	1	100877	100877
8.0	1	96670	96670
9.0	1	93306	93306
10.0	1	90706	90706
11.0	1	88380	88380
12.0	1	85615	85615
13.0	1	83368	83368
14.0	1	80850	80850
15.0	1	78174	78174
16.0	1	75964	75964
17.0	1	73354	73354
18.0	1	70605	70605
19.0	1	68738	68738
20.0	1	66218	66218
21.0	1	63484	63484
22.0	1	61022	61022
23.0	1	58215	58215
24.0	1	55996	55996
25.0	1	53678	53678
26.0	1	51530	51530
27.0	1	49421	49421
28.0	1	47637	47637
29.0	1	45148	45148
30.0	1	43220	43220
31.0	1	41547	41547
32.0	1	38948	38948
33.0	1	37526	37526
34.0	1	35902	35902
35.0	1	33804	33804
36.0	1	32656	32656
37.0	1	30938	30938
38.0	1	29483	29483
39.0	1	28017	28017
40.0	1	26791	26791
41.0	1	25617	25617
42.0	1	24427	24427
43.0	1	23311	23311
44.0	1	22037	22037
45.0	1	21100	21100
46.0	1	20458	20458
47.0	1	19229	19229
48.0	1	18548	18548
49.0	1	17500	17500
50.0	1	17066	17066
51.0	1	16170	16170
52.0	1	15368	15368
53.0	1	14909	14909
54.0	1	14038	14038
55.0	1	13578	13578
56.0	1	12847	12847
57.0	1	12428	12428
58.0	1	11768	11768
59.0	1	11496	11496
60.0	1	11006	11006
61.0	1	10471	10471
62.0	1	10234	10234
63.0	1	9657	9657
64.0	1	9424	9424
65.0	1	9010	9010
66.0	1	8712	8712
67.0	1	8604	8604
68.0	1	8146	8146
69.0	1	7699	7699
70.0	1	7447	7447
71.0	1	7331	7331
72.0	1	6890	6890
73.0	1	6810	6810
74.0	1	6495	6495
75.0	1	6242	6242
76.0	1	5941	5941
77.0	1	5856	5856
78.0	1	5725	5725
79.0	1	5353	5353
80.0	1	5177	5177
81.0	1	5032	5032
82.0	1	4829	4829
83.0	1	4742	4742
84.0	1	4556	4556
85.0	1	4358	4358
86.0	1	4224	4224
87.0	1	4120	4120
88.0	1	4023	4023
89.0	1	3929	3929
90.0	1	3742	3742
91.0	1	3666	3666
92.0	1	3435	3435
93.0	1	3403	3403
94.0	1	3302	3302
95.0	1	3205	3205
96.0	1	3161	3161
97.0	1	3082	3082
98.0	1	2989	2989
99.0	1	2781	2781
100.0	1	2732	2732
101.0	0	2713	2713
102.0	0	2562	2562
103.0	0	2552	2552
104.0	0	2420	2420
105.0	0	2324	2324
106.0	0	2356	2356
107.0	0	2278	2278
108.0	0	2173	2173
109.0	0	2221	2221
