family_size	count	fraction	fraction_gt_or_eq_family_size
1	3039426	0.268771	1
2	1242739	0.109893	0.731229
3	1002332	0.088635	0.621335
4	854799	0.075588	0.532701
5	741020	0.065527	0.457112
6	643325	0.056888	0.391585
7	555658	0.049136	0.334697
8	479384	0.042391	0.285561
9	410353	0.036287	0.24317
10	350681	0.03101	0.206883
11	296577	0.026226	0.175873
12	250522	0.022153	0.149647
13	212113	0.018757	0.127494
14	178371	0.015773	0.108737
15	150464	0.013305	0.092964
16	126994	0.01123	0.079659
17	108062	0.009556	0.068429
18	90927	0.008041	0.058873
19	77549	0.006858	0.050833
20	65679	0.005808	0.043975
21	56352	0.004983	0.038167
22	48148	0.004258	0.033184
23	41269	0.003649	0.028926
24	35824	0.003168	0.025277
25	30568	0.002703	0.022109
26	26779	0.002368	0.019406
27	22939	0.002028	0.017038
28	19871	0.001757	0.01501
29	17428	0.001541	0.013252
30	15390	0.001361	0.011711
31	13355	0.001181	0.01035
32	11617	0.001027	0.009169
33	10295	0.00091	0.008142
34	9026	0.000798	0.007232
35	7903	0.000699	0.006434
36	7026	0.000621	0.005735
37	6325	0.000559	0.005114
38	5453	0.000482	0.004554
39	4811	0.000425	0.004072
40	4206	0.000372	0.003647
41	3899	0.000345	0.003275
42	3296	0.000291	0.00293
43	3102	0.000274	0.002638
44	2638	0.000233	0.002364
45	2408	0.000213	0.002131
46	2174	0.000192	0.001918
47	1886	0.000167	0.001726
48	1677	0.000148	0.001559
49	1520	0.000134	0.001411
50	1361	0.00012	0.001276
51	1284	0.000114	0.001156
52	1164	0.000103	0.001042
53	961	0.000085	0.000939
54	903	0.00008	0.000854
55	798	0.000071	0.000775
56	755	0.000067	0.000704
57	662	0.000059	0.000637
58	595	0.000053	0.000579
59	527	0.000047	0.000526
60	514	0.000045	0.000479
61	450	0.00004	0.000434
62	409	0.000036	0.000394
63	302	0.000027	0.000358
64	335	0.00003	0.000331
65	266	0.000024	0.000302
66	262	0.000023	0.000278
67	234	0.000021	0.000255
68	218	0.000019	0.000234
69	216	0.000019	0.000215
70	185	0.000016	0.000196
71	169	0.000015	0.00018
72	165	0.000015	0.000165
73	122	0.000011	0.00015
74	115	0.00001	0.000139
75	106	9.3734E-6	0.000129
76	127	0.000011	0.00012
77	83	7.33955E-6	0.000109
78	103	9.10812E-6	0.000101
79	82	7.25112E-6	0.000092
80	83	7.33955E-6	0.000085
81	74	6.5437E-6	0.000077
82	58	5.12884E-6	0.000071
83	60	5.3057E-6	0.000066
84	53	4.6867E-6	0.00006
85	53	4.6867E-6	0.000056
86	44	3.89085E-6	0.000051
87	41	3.62556E-6	0.000047
88	34	3.00656E-6	0.000044
89	44	3.89085E-6	0.000041
90	30	2.65285E-6	0.000037
91	35	3.09499E-6	0.000034
92	29	2.56442E-6	0.000031
93	27	2.38757E-6	0.000028
94	28	2.47599E-6	0.000026
95	15	1.32643E-6	0.000024
96	18	1.59171E-6	0.000022
97	16	1.41485E-6	0.000021
98	12	1.06114E-6	0.000019
99	9	7.95855E-7	0.000018
100	16	1.41485E-6	0.000017
101	9	7.95855E-7	0.000016
102	17	1.50328E-6	0.000015
103	11	9.72712E-7	0.000014
104	11	9.72712E-7	0.000013
105	10	8.84283E-7	0.000012
106	9	7.95855E-7	0.000011
107	9	7.95855E-7	9.9924E-6
108	4	3.53713E-7	9.19655E-6
109	10	8.84283E-7	8.84283E-6
110	6	5.3057E-7	7.95855E-6
111	5	4.42142E-7	7.42798E-6
112	6	5.3057E-7	6.98584E-6
113	10	8.84283E-7	6.45527E-6
114	6	5.3057E-7	5.57099E-6
115	5	4.42142E-7	5.04042E-6
116	3	2.65285E-7	4.59827E-6
117	4	3.53713E-7	4.33299E-6
118	3	2.65285E-7	3.97928E-6
119	5	4.42142E-7	3.71399E-6
120	5	4.42142E-7	3.27185E-6
121	2	1.76857E-7	2.82971E-6
122	2	1.76857E-7	2.65285E-6
124	2	1.76857E-7	2.47599E-6
125	2	1.76857E-7	2.29914E-6
126	3	2.65285E-7	2.12228E-6
127	2	1.76857E-7	1.857E-6
128	3	2.65285E-7	1.68014E-6
129	1	8.84283E-8	1.41485E-6
130	1	8.84283E-8	1.32643E-6
133	2	1.76857E-7	1.238E-6
135	1	8.84283E-8	1.06114E-6
136	1	8.84283E-8	9.72712E-7
137	1	8.84283E-8	8.84283E-7
138	1	8.84283E-8	7.95855E-7
140	1	8.84283E-8	7.07427E-7
144	1	8.84283E-8	6.18998E-7
145	1	8.84283E-8	5.3057E-7
146	2	1.76857E-7	4.42142E-7
150	1	8.84283E-8	2.65285E-7
154	1	8.84283E-8	1.76857E-7
160	1	8.84283E-8	8.84283E-8
