## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /home/ubuntu/projects/ctdna2/results/arm_c_consensus_tumor_only/tumor.insert_size_histogram.pdf --INPUT /home/ubuntu/projects/ctdna2/results/arm_c_consensus_tumor_only/tumor.consensus.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_c_consensus_tumor_only/tumor.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 13 00:39:55 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
20	2	12	2	1484	20.768679	15.193703	6298578	TANDEM	5	11	15	21	25	31	35	37	43	51	79			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.tandem_count
2	683321
3	317450
4	175922
5	142323
6	130311
7	120270
8	147989
9	119391
10	129705
11	129690
12	124099
13	129422
14	130367
15	130283
16	132850
17	132975
18	133207
19	134931
20	134677
21	134529
22	135478
23	134511
24	134249
25	134820
26	134039
27	131904
28	131532
29	129708
30	127146
31	125786
32	122548
33	118028
34	114871
35	110096
36	103531
37	99791
38	93049
39	87430
40	82471
41	77329
42	72439
43	66949
44	62077
45	55957
46	50338
47	43125
48	35374
49	29336
50	22397
51	16842
52	12184
53	8423
54	5894
55	4005
56	3142
57	2210
58	1989
59	1758
60	1454
61	1305
62	1281
63	1185
64	1122
65	1130
66	1043
67	1185
68	984
69	1015
70	1034
71	955
72	940
73	849
74	827
75	787
76	805
77	798
78	809
79	820
80	736
81	779
82	776
83	693
84	743
85	668
86	674
87	628
88	594
89	592
90	622
91	584
92	579
93	640
94	579
95	581
96	577
97	657
98	499
99	571
100	559
101	526
102	522
103	456
104	460
105	468
106	461
107	470
108	463
109	421
110	436
111	390
112	386
113	409
114	382
115	488
116	351
117	366
118	393
119	360
120	375
121	348
122	374
123	306
124	340
125	299
126	306
127	368
128	325
129	341
130	316
131	302
132	285
133	280
134	297
135	269
136	261
137	303
138	265
139	243
140	286

