family_size	count	fraction	fraction_gt_or_eq_family_size
1	2195071	0.213427	1
2	955221	0.092876	0.786573
3	754122	0.073323	0.693697
4	641512	0.062374	0.620373
5	562053	0.054648	0.557999
6	500773	0.04869	0.503351
7	449962	0.04375	0.45466
8	406120	0.039487	0.410911
9	367740	0.035755	0.371423
10	334020	0.032477	0.335668
11	300958	0.029262	0.303191
12	271447	0.026393	0.273929
13	245947	0.023913	0.247536
14	221666	0.021553	0.223623
15	199876	0.019434	0.20207
16	180247	0.017525	0.182636
17	161826	0.015734	0.165111
18	145779	0.014174	0.149376
19	131483	0.012784	0.135202
20	117709	0.011445	0.122418
21	106101	0.010316	0.110973
22	95300	0.009266	0.100657
23	85765	0.008339	0.091391
24	77160	0.007502	0.083052
25	69334	0.006741	0.07555
26	62793	0.006105	0.068808
27	56452	0.005489	0.062703
28	50868	0.004946	0.057214
29	45914	0.004464	0.052268
30	41952	0.004079	0.047804
31	37813	0.003677	0.043725
32	33947	0.003301	0.040049
33	31170	0.003031	0.036748
34	28089	0.002731	0.033717
35	25472	0.002477	0.030986
36	23318	0.002267	0.02851
37	21328	0.002074	0.026242
38	19380	0.001884	0.024169
39	17704	0.001721	0.022284
40	16380	0.001593	0.020563
41	14774	0.001436	0.01897
42	13514	0.001314	0.017534
43	12428	0.001208	0.01622
44	11359	0.001104	0.015011
45	10473	0.001018	0.013907
46	9639	0.000937	0.012889
47	8912	0.000867	0.011952
48	8287	0.000806	0.011085
49	7507	0.00073	0.010279
50	6931	0.000674	0.009549
51	6422	0.000624	0.008875
52	5794	0.000563	0.008251
53	5352	0.00052	0.007688
54	5074	0.000493	0.007167
55	4924	0.000479	0.006674
56	4251	0.000413	0.006195
57	3952	0.000384	0.005782
58	3660	0.000356	0.005398
59	3569	0.000347	0.005042
60	3327	0.000323	0.004695
61	3004	0.000292	0.004371
62	2743	0.000267	0.004079
63	2533	0.000246	0.003812
64	2459	0.000239	0.003566
65	2163	0.00021	0.003327
66	2038	0.000198	0.003117
67	1888	0.000184	0.002919
68	1777	0.000173	0.002735
69	1718	0.000167	0.002562
70	1535	0.000149	0.002395
71	1366	0.000133	0.002246
72	1329	0.000129	0.002113
73	1303	0.000127	0.001984
74	1186	0.000115	0.001857
75	1040	0.000101	0.001742
76	1037	0.000101	0.001641
77	939	0.000091	0.00154
78	871	0.000085	0.001449
79	816	0.000079	0.001364
80	804	0.000078	0.001285
81	766	0.000074	0.001207
82	692	0.000067	0.001132
83	613	0.00006	0.001065
84	574	0.000056	0.001005
85	591	0.000057	0.000949
86	518	0.00005	0.000892
87	456	0.000044	0.000842
88	472	0.000046	0.000797
89	427	0.000042	0.000751
90	392	0.000038	0.00071
91	401	0.000039	0.000672
92	405	0.000039	0.000633
93	330	0.000032	0.000593
94	335	0.000033	0.000561
95	289	0.000028	0.000529
96	305	0.00003	0.000501
97	260	0.000025	0.000471
98	247	0.000024	0.000446
99	228	0.000022	0.000422
100	238	0.000023	0.000399
101	243	0.000024	0.000376
102	186	0.000018	0.000353
103	178	0.000017	0.000335
104	186	0.000018	0.000317
105	163	0.000016	0.000299
106	156	0.000015	0.000283
107	176	0.000017	0.000268
108	147	0.000014	0.000251
109	122	0.000012	0.000237
110	122	0.000012	0.000225
111	103	0.00001	0.000213
112	106	0.00001	0.000203
113	103	0.00001	0.000193
114	93	9.0424E-6	0.000183
115	84	8.16733E-6	0.000174
116	96	9.33409E-6	0.000165
117	77	7.48672E-6	0.000156
118	75	7.29226E-6	0.000149
119	69	6.70888E-6	0.000141
120	73	7.0978E-6	0.000135
121	71	6.90334E-6	0.000128
122	63	6.1255E-6	0.000121
123	54	5.25043E-6	0.000115
124	47	4.56982E-6	0.000109
125	54	5.25043E-6	0.000105
126	52	5.05597E-6	0.000099
127	40	3.8892E-6	0.000094
128	43	4.1809E-6	0.000091
129	35	3.40305E-6	0.000086
130	37	3.59751E-6	0.000083
131	40	3.8892E-6	0.000079
132	41	3.98643E-6	0.000075
133	38	3.69474E-6	0.000071
134	40	3.8892E-6	0.000068
135	27	2.62521E-6	0.000064
136	26	2.52798E-6	0.000061
137	35	3.40305E-6	0.000059
138	25	2.43075E-6	0.000055
139	21	2.04183E-6	0.000053
140	19	1.84737E-6	0.000051
141	22	2.13906E-6	0.000049
142	16	1.55568E-6	0.000047
143	20	1.9446E-6	0.000045
144	19	1.84737E-6	0.000043
145	24	2.33352E-6	0.000042
146	15	1.45845E-6	0.000039
147	17	1.65291E-6	0.000038
148	19	1.84737E-6	0.000036
149	18	1.75014E-6	0.000034
150	17	1.65291E-6	0.000032
151	16	1.55568E-6	0.000031
152	20	1.9446E-6	0.000029
153	12	1.16676E-6	0.000027
154	14	1.36122E-6	0.000026
155	10	9.72301E-7	0.000025
156	7	6.80611E-7	0.000024
157	11	1.06953E-6	0.000023
158	11	1.06953E-6	0.000022
159	7	6.80611E-7	0.000021
160	11	1.06953E-6	0.00002
161	4	3.8892E-7	0.000019
162	8	7.77841E-7	0.000019
163	13	1.26399E-6	0.000018
164	6	5.83381E-7	0.000017
165	11	1.06953E-6	0.000016
166	7	6.80611E-7	0.000015
167	3	2.9169E-7	0.000014
168	6	5.83381E-7	0.000014
169	5	4.86151E-7	0.000014
170	5	4.86151E-7	0.000013
171	6	5.83381E-7	0.000013
172	5	4.86151E-7	0.000012
173	7	6.80611E-7	0.000012
174	4	3.8892E-7	0.000011
175	3	2.9169E-7	0.000011
176	4	3.8892E-7	0.00001
177	6	5.83381E-7	9.82024E-6
178	1	9.72301E-8	9.23686E-6
179	5	4.86151E-7	9.13963E-6
180	7	6.80611E-7	8.65348E-6
181	1	9.72301E-8	7.97287E-6
182	6	5.83381E-7	7.87564E-6
183	4	3.8892E-7	7.29226E-6
184	1	9.72301E-8	6.90334E-6
185	2	1.9446E-7	6.80611E-6
186	3	2.9169E-7	6.61165E-6
187	1	9.72301E-8	6.31996E-6
188	6	5.83381E-7	6.22273E-6
189	2	1.9446E-7	5.63935E-6
190	1	9.72301E-8	5.44489E-6
191	3	2.9169E-7	5.34766E-6
192	1	9.72301E-8	5.05597E-6
193	4	3.8892E-7	4.95874E-6
194	4	3.8892E-7	4.56982E-6
195	2	1.9446E-7	4.1809E-6
196	1	9.72301E-8	3.98643E-6
197	2	1.9446E-7	3.8892E-6
198	1	9.72301E-8	3.69474E-6
200	4	3.8892E-7	3.59751E-6
201	3	2.9169E-7	3.20859E-6
202	1	9.72301E-8	2.9169E-6
204	2	1.9446E-7	2.81967E-6
205	2	1.9446E-7	2.62521E-6
208	2	1.9446E-7	2.43075E-6
209	3	2.9169E-7	2.23629E-6
210	2	1.9446E-7	1.9446E-6
214	3	2.9169E-7	1.75014E-6
217	1	9.72301E-8	1.45845E-6
220	2	1.9446E-7	1.36122E-6
221	1	9.72301E-8	1.16676E-6
225	1	9.72301E-8	1.06953E-6
233	1	9.72301E-8	9.72301E-7
236	1	9.72301E-8	8.75071E-7
237	1	9.72301E-8	7.77841E-7
252	1	9.72301E-8	6.80611E-7
255	1	9.72301E-8	5.83381E-7
259	1	9.72301E-8	4.86151E-7
263	1	9.72301E-8	3.8892E-7
280	1	9.72301E-8	2.9169E-7
282	1	9.72301E-8	1.9446E-7
306	1	9.72301E-8	9.72301E-8
