## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /home/ubuntu/projects/ctdna2/results/arm_d_consensus_tumor_normal/normal.insert_size_histogram.pdf --INPUT /home/ubuntu/projects/ctdna2/results/arm_d_consensus_tumor_normal/normal.consensus.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_d_consensus_tumor_normal/normal.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 10 02:10:38 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
15	2	10	2	5137	16.633886	12.810127	5853563	TANDEM	5	9	13	17	21	25	27	27	37	43	109			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.tandem_count
2	788163
3	359706
4	197186
5	160254
6	147010
7	136322
8	168553
9	135371
10	145531
11	145035
12	139266
13	144439
14	144539
15	144434
16	145720
17	145713
18	144301
19	145404
20	144671
21	142671
22	143419
23	142240
24	139852
25	138576
26	135499
27	132110
28	129603
29	126372
30	120183
31	114576
32	106360
33	96994
34	88141
35	75897
36	63656
37	51397
38	39268
39	29248
40	20669
41	13921
42	9269
43	6558
44	4475
45	3542
46	2858
47	2574
48	2263
49	2172
50	2101
51	1926
52	1857
53	1825
54	1663
55	1656
56	1609
57	1470
58	1499
59	1454
60	1408
61	1283
62	1212
63	1223
64	1246
65	1149
66	1169
67	1173
68	1169
69	1073
70	1117
71	1026
72	1041
73	1051
74	986
75	983
76	998
77	954
78	945
79	977
80	899
81	900
82	842
83	790
84	845
85	838
86	781
87	765
88	717
89	761
90	698
91	727
92	761
93	637
94	670
95	668
96	702
97	625
98	621
99	617
100	594
101	614
102	512
103	571
104	576
105	550
106	624
107	566
108	521
109	462
110	481
111	498
112	481
113	441
114	560
115	519

