family_size	group_count
1	1384590
2	801686
3	657236
4	564181
5	496345
6	444176
7	400273
8	364268
9	332599
10	304670
11	277863
12	253725
13	232376
14	212166
15	193495
16	176380
17	160060
18	146225
19	132774
20	120299
21	109387
22	99210
23	89816
24	81352
25	73788
26	67456
27	61129
28	55715
29	50255
30	46126
31	41777
32	38063
33	35031
34	31583
35	29020
36	26714
37	24435
38	22342
39	20612
40	18866
41	17393
42	15926
43	14742
44	13408
45	12691
46	11636
47	10729
48	9981
49	9087
50	8446
51	7783
52	7127
53	6667
54	6213
55	6069
56	5357
57	4929
58	4646
59	4418
60	4117
61	3743
62	3646
63	3172
64	3168
65	2808
66	2597
67	2547
68	2274
69	2213
70	2070
71	1816
72	1738
73	1750
74	1581
75	1441
76	1349
77	1291
78	1200
79	1060
80	1092
81	1066
82	968
83	872
84	836
85	769
86	742
87	657
88	625
89	607
90	567
91	539
92	552
93	469
94	505
95	402
96	442
97	389
98	363
99	345
100	311
101	336
102	274
103	279
104	264
105	229
106	225
107	249
108	218
109	201
110	179
111	161
112	173
113	160
114	157
115	128
116	157
117	120
118	124
119	105
120	110
121	109
122	118
123	79
124	75
125	83
126	91
127	91
128	63
129	72
130	60
131	70
132	61
133	67
134	69
135	46
136	47
137	59
138	39
139	44
140	30
141	37
142	26
143	33
144	32
145	34
146	26
147	33
148	33
149	31
150	25
151	31
152	34
153	31
154	28
155	18
156	14
157	23
158	15
159	23
160	17
161	12
162	19
163	17
164	10
165	15
166	13
167	10
168	19
169	15
170	8
171	13
172	6
173	11
174	12
175	3
176	7
177	11
178	6
179	6
180	13
181	6
182	9
183	9
184	6
185	4
186	7
187	4
188	8
189	6
190	5
191	4
192	4
193	3
194	6
195	3
196	3
197	4
198	1
199	4
200	6
201	2
202	2
203	5
204	3
205	4
207	3
208	1
209	5
210	1
211	2
212	1
214	4
216	1
217	3
220	1
221	1
222	2
224	1
225	2
227	2
229	1
232	1
233	2
235	1
236	2
237	2
239	1
240	2
241	1
248	1
251	1
255	1
256	1
258	1
260	1
263	2
270	2
272	1
275	1
277	1
282	1
283	1
289	1
299	1
303	1
306	1
328	1
339	1
342	1
359	1
377	1
384	1
