family_size	group_count
1	1839829
2	1055832
3	898505
4	778807
5	683091
6	597279
7	521986
8	454559
9	393462
10	340589
11	291588
12	249464
13	213587
14	182106
15	156025
16	132994
17	114597
18	98253
19	84475
20	72347
21	62626
22	54486
23	47319
24	41233
25	35891
26	31448
27	27439
28	23996
29	21223
30	18907
31	16286
32	14720
33	12922
34	11591
35	10178
36	9125
37	8262
38	7279
39	6584
40	5757
41	5381
42	4585
43	4219
44	3841
45	3334
46	3145
47	2743
48	2445
49	2248
50	2013
51	2018
52	1697
53	1535
54	1475
55	1267
56	1220
57	1097
58	966
59	924
60	841
61	715
62	682
63	611
64	575
65	488
66	488
67	467
68	393
69	368
70	365
71	339
72	312
73	259
74	242
75	219
76	243
77	200
78	197
79	188
80	157
81	169
82	138
83	126
84	129
85	115
86	102
87	102
88	85
89	65
90	79
91	72
92	57
93	66
94	56
95	55
96	46
97	46
98	41
99	36
100	39
101	34
102	21
103	25
104	32
105	30
106	38
107	29
108	25
109	30
110	17
111	19
112	20
113	17
114	16
115	14
116	20
117	10
118	12
119	14
120	10
121	11
122	5
123	10
124	9
125	7
126	10
127	8
128	10
129	8
130	8
131	11
132	7
133	7
134	5
135	5
136	3
138	2
139	6
140	3
141	2
142	3
143	1
145	4
146	3
147	1
148	1
149	2
150	2
151	1
154	1
155	1
156	2
157	2
158	1
159	1
160	3
162	1
164	2
165	2
166	3
167	1
169	1
171	2
174	1
177	1
178	1
179	1
180	1
184	1
186	2
187	2
188	2
189	2
190	1
192	1
193	1
195	2
196	1
197	1
200	1
204	1
205	1
208	1
209	1
210	1
214	2
216	1
226	1
228	1
233	1
255	1
